Tool Name,Category,Description,Tags,URL
ChatGPT,Chatbot/Assistant,AI conversational assistant by OpenAI.,"Chatbot, NLP, Assistant",https://chat.openai.com
DALL·E,Image Generation,Generates images from text prompts.,"Text-to-Image, Creativity, Art",https://openai.com/dall-e
Midjourney,Image Generation,AI image generation via Discord.,"Art, AI Art, Design",https://www.midjourney.com
RunwayML,Video Editing,AI video editing and effects platform.,"Video, Editing, Creativity",https://runwayml.com
Jasper,Content Creation,AI copywriting and content generation tool.,"Writing, Copy, Blog",https://www.jasper.ai
Grammarly,Writing Assistant,Grammar and style checker with AI suggestions.,"Writing, Grammar, Editing",https://www.grammarly.com
Copy.ai,Content Creation,AI content generator for marketing and ads.,"Copywriting, Ads, SEO",https://www.copy.ai
Synthesia,Video Creation,Creates AI avatars and videos from text.,"Video, Avatars, Corporate",https://www.synthesia.io
Descript,Audio & Video,AI-powered audio & video editing platform.,"Editing, Audio, Podcast",https://www.descript.com
Pictory,Video Summarizer,Turns long content into short social videos.,"Video, Marketing, Clips",https://pictory.ai
Murf.ai,Voice AI,AI voice generator and text-to-speech.,"Voice, Audio, Narration",https://murf.ai
ElevenLabs,Voice AI,Ultra-realistic voice synthesis platform.,"Voice Cloning, TTS, Audio",https://www.elevenlabs.io
Lumen5,Video Creation,Turns blog posts into engaging videos.,"Video, Social Media, Automation",https://www.lumen5.com
Notion AI,Productivity,AI assistant within Notion for writing and organization.,"Notes, Productivity, Assistant",https://www.notion.so/product/ai
Beautiful.ai,Presentation AI,Creates smart and aesthetic presentations.,"Presentation, Slides, Design",https://www.beautiful.ai
Tome,Presentation AI,AI storytelling & presentation creation.,"Pitch Deck, Visuals, Storytelling",https://beta.tome.app
Replika,AI Companion,AI friend chatbot that talks and supports.,"Mental Health, Chatbot, Fun",https://replika.ai
Otter.ai,Meeting Assistant,Transcribes meetings and generates summaries.,"Transcription, Meetings, Notes",https://otter.ai
Fireflies.ai,Meeting Assistant,AI note-taker for meetings and calls.,"Meetings, Productivity, CRM",https://www.fireflies.ai
Krisp,Audio AI,Removes background noise using AI.,"Audio, Calls, Noise Reduction",https://krisp.ai
AIVA,Music Generation,AI composer for music creation.,"Music, AI Composer, Audio",https://www.aiva.ai
Soundraw,Music AI,AI-generated royalty-free music tracks.,"Music, Creators, Video",https://soundraw.io
Beatoven,Music AI,Creates custom music for content creators.,"Indian AI Tool, Music, Creators",https://www.beatoven.ai
DeepL,Translation AI,Highly accurate AI-powered language translation.,"Translate, Language, Multilingual",https://www.deepl.com
Canva AI,Design Assistant,AI tools built into Canva for fast design.,"Design, Templates, Graphics",https://www.canva.com
Cleanup.pictures,Image Editing,"Remove objects, people, or backgrounds from photos.","Image, Cleanup, Editor",https://www.cleanup.pictures
Remove.bg,Image Editing,Instantly removes image backgrounds.,"Background Removal, Image",https://www.remove.bg
Clipdrop,Image Editing,AI-powered tools for image enhancement and AR.,"Photography, Design, AR",https://clipdrop.co
Looka,Logo Generation,AI logo maker and branding suite.,"Logo, Design, Branding",https://looka.com
Logo AI,Logo Generation,Create logos with artificial intelligence.,"Logo, Brand, Design",https://www.logoai.com
Adobe Firefly,Image Generation,Adobe’s generative AI for visual creation.,"Art, Design, Creative",https://firefly.adobe.com
ChatPDF,Document AI,Chat with any PDF using AI.,"PDF, Q&A, Productivity",https://www.chatpdf.com
Humata,Document AI,Ask questions to your documents instantly.,"Document, PDF, Research",https://www.humata.ai
Perplexity AI,Search Assistant,AI-powered search engine and answer tool.,"Research, Search, Ask",https://www.perplexity.ai
You.com,AI Search Engine,AI search engine with productivity tools.,"Browser, Search, Chat",https://you.com
Bard (Gemini),Chatbot/Assistant,Google’s conversational AI (rebranded to Gemini).,"Chatbot, Research, Assistant",https://gemini.google.com
Claude,Chatbot/Assistant,"AI assistant from Anthropic, known for safe and helpful conversation.","Chatbot, Writing, Coding",https://claude.ai
Noty.ai,Meeting Assistant,Real-time AI meeting transcriber & task generator.,"Meetings, Tasks, Productivity",https://noty.ai
Magic Eraser,Image Editing,Erase unwanted objects from images.,"Image Cleanup, Editor",https://www.magiceraser.io
Flair AI,Branding/Design,AI design tool for product marketing visuals.,"Branding, Design, Ads",https://flair.ai
Harpa AI,Chrome Assistant,AI-powered assistant in your browser.,"Chrome, Automation, Scraping",https://www.harpa.ai
Neural.love,Image/Video/Text,AI tools for media enhancement & generation.,"Image, Video, Audio, Text",https://neural.love
Illustroke,Vector Graphics,Text-to-vector illustration generator.,"Vectors, Art, SVG",https://illustroke.com
Leonardo AI,Image Generation,AI art tool for detailed and stylized image generation.,"Art, Text-to-Image, Design",https://leonardo.ai
Inkforall,Content Creation,AI writing assistant for SEO & marketing.,"SEO, Writing, Copy",https://inkforall.com
Wordtune,Writing Assistant,Enhances and rewrites your sentences smartly.,"Grammar, Rewriting, Style",https://www.wordtune.com
Moonbeam,Long-form Writing,Long-form content and blog writing AI.,"Blog, Content, AI Writer",https://www.moonbeam.ai
PromptHero,Prompt Library,Search engine for AI prompts.,"Prompts, Midjourney, DALL·E",https://prompthero.com
Futurepedia,AI Directory,World's largest AI tool directory.,"Tools, AI Library, Search",https://www.futurepedia.io
QuillBot,Writing Assistant,Paraphrasing tool and grammar checker powered by AI.,"Writing, Paraphrasing, Grammar",https://quillbot.com
Writeseed,Content Creation,AI writing tool for blogs and marketing copy.,"Copywriting, Marketing, Content",https://writeseed.com
Scalenut,SEO AI,AI-powered platform for content research and SEO.,"SEO, Writing, Marketing",https://www.scalenut.com
INK Editor,Content Optimization,AI editor with SEO and grammar features.,"SEO, Writing, AI Assistant",https://inkforall.com/editor
WriteSonic,AI Writer,"AI writer for articles, blogs, and ads.","Copywriting, SEO, Automation",https://writesonic.com
ContentBot,Marketing Assistant,AI writer for marketers and email campaigns.,"Marketing, Emails, Content",https://contentbot.ai
Anyword,Copy Optimization,AI copy generator focused on performance scoring.,"Ads, Conversion, Content",https://anyword.com
AI Dungeon,Gaming/Storytelling,AI-powered text adventure storytelling platform.,"Games, Storytelling, Text",https://play.aidungeon.io
ShortlyAI,Long-form Writing,AI tool for expanding writing and articles.,"Writing, Creativity, Blog",https://shortlyai.com
Neuroflash,Marketing AI,Generates texts for marketing and branding.,"Marketing, Ads, Copy",https://www.neuroflash.com
PhotoRoom,Image Editing,Create professional product images with AI.,"Ecommerce, Product Image, Design",https://www.photoroom.com
Hotpot.ai,Design Assistant,"AI tools for art, images, and restoration.","Graphics, Art, Editor",https://hotpot.ai
Remini,Image Enhancement,AI photo enhancer that sharpens old images.,"Photos, Enhancement, Restoration",https://www.remini.ai
Let's Enhance,Image Upscaler,AI upscaling and photo enhancement platform.,"HD, Enhance, Photo",https://letsenhance.io
Veed.io,Video Editing,Online video editor with AI subtitle generation.,"Video, Subtitle, Editor",https://www.veed.io
Wisecut,Video Editing,AI video editor that shortens long videos automatically.,"Editing, Video, Automation",https://www.wisecut.video
Papercup,Voice Translation,Translate videos with AI voice dubbing.,"Video, Translation, Voice",https://www.papercup.com
Kaiber,Video Generation,Create AI-powered music videos and animations.,"Music, Visuals, Animation",https://www.kaiber.ai
Synthesys,Voice and Video AI,AI-generated voices and spokesperson videos.,"Voice, Avatar, Corporate",https://synthesys.io
HeyGen,Video Avatar,AI video generator with customizable avatars.,"Avatars, Video, Corporate",https://www.heygen.com
Colossyan,AI Presenter,Generate videos with AI presenters.,"Video, Learning, Corporate",https://www.colossyan.com
Play.ht,Voice AI,Text-to-speech platform with lifelike voices.,"TTS, Voice, Audio",https://play.ht
